Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PP_G,PP_A,SH_G,SH_A,Def_Hits,Def_BS
Victor Hedman,TB,D,48,9,41,50,4,40,101,1,4,17,0,0,29,58
Nick Foligno,CHI,LW,43,9,9,18,-7,43,87,0,4,2,1,0,93,22
Kyle Okposo,BUF,RW,46,9,7,16,1,30,73,0,1,0,1,0,36,30
Alex Ovechkin,WAS,LW,44,9,22,31,-17,12,151,2,4,9,0,0,73,9
Lars Eller,PIT,C,46,9,6,15,2,16,92,0,1,0,1,0,29,29
Blake Wheeler,NYR,RW,49,9,11,20,0,23,72,1,1,0,0,0,22,29
Tyler Johnson,CHI,C,35,9,4,13,-15,16,58,1,3,2,0,0,15,18
Elias Lindholm,CGY,C,49,9,23,32,-8,21,131,3,3,6,1,1,43,40
Dominik Kubalik,OTT,LW,41,9,3,12,-17,15,61,2,2,0,0,0,22,15
Phillip Danault,LA,C,46,9,19,28,2,10,94,1,3,3,0,2,33,35
Jimmy Vesey,NYR,LW,47,9,5,14,0,11,83,4,0,0,0,0,34,19
Andrew Mangiapane,CGY,LW,48,9,18,27,7,41,77,0,2,0,0,0,47,18
Mason Appleton,WPG,C,47,9,14,23,10,18,67,2,0,0,1,1,41,29
Nicolas Roy,VGK,C,41,9,17,26,12,23,70,2,1,4,0,0,21,18
Timo Meier,NJ,LW,34,9,9,18,-23,14,97,1,3,4,0,0,35,17
Danton Heinen,BOS,LW,41,9,9,18,12,18,75,3,1,0,0,0,29,28
Justin Danforth,CLS,RW,48,9,10,19,-9,18,64,1,0,0,0,0,72,37
Alexandre Texier,CLS,C,46,8,8,16,-7,22,61,1,0,1,2,0,20,23
Eetu Luostarinen,FLA,LW,49,8,5,13,-7,12,70,2,2,0,0,0,56,34
Morgan Geekie,BOS,C,43,8,15,23,10,16,73,0,2,5,0,0,49,32
Andrei Kuzmenko,VAN,LW,43,8,13,21,-1,6,63,2,3,4,0,0,4,10
